Financier Country,Recipient,Recipient Region,Commitment Year,Title,Flow Class,Sector Name,Funding Agencies,Amount in USD (nominal),Source URLs,District,Development Region,Province,Location,"Distance to closest border crossing in km (India: Banbasa, India - Kanchanpur District, Nepal;
    Rupaidiha, India - Banke District, Nepal;
    Sonauli, India - Rupandehi District, Nepal;
    Raxaul, India - Birgunj, Nepal (also known as the 'Gateway of Nepal');
    Bhitthamore,India - Mahottari District, Nepal;
    Jogbani, India - Biratnagar, Nepal;
    Panitanki, India - Kakarbhitta, Nepal) (China: Gyirong, China –Rasuwa, Nepal; Zhangmu, China – Kodari, Nepal)",Ethnicity,Population (in 1000),GDP (Value Added) Rs. in million (2013),HDI (2013),Government Expenditure by district in thousands (year 2013)
China (People's Republic of),Nepal,Asia,2017,Chinese Government provides RMB 90 million grant for Basantapur Tower Restoration Project (Linked to Project #43970),ODA,EMERGENCY RESPONSE,China Ministry of Commerce,13318641,"http://np.china-embassy.org/chn/xwdt/t1558687.htm|http://www.hubpd.com/c/2017-10-30/624184.shtml|http://www.bjnews.com.cn/world/2017/08/15/454370.html|https://global.factiva.com/redir/default.aspx?P=sa&NS=16&AID=9VIV000400&an=CHNDHK0020170504ed550001a&cat=a&ep=ASI|https://web.archive.org/web/20190818231829/http://www.mof.gov.np/uploads/document/file/20140820115245.pdf|https://www.fmprc.gov.cn/ce/cenp/eng/EconomyTrade/chinaaid/t1770299.htm|https://www.google.com/maps/place/Basantapur+Tower/@27.7042216,85.3067303,15z/data=!4m5!3m4!1s0x0:0xa54f748986a0b99b!8m2!3d27.7042216!4d85.3067303|http://www.china.org.cn/world/2017-08/16/content_41419339.htm|http://www.china.org.cn/world/2018-11/01/content_69231788.htm|https://www.dropbox.com/s/zoaphuzh57yrd8c/dp_profile_20190331055603.pdf?dl=0|https://twitter.com/PRCAmbNepal/status/1253948319144923137",Kathmandu,Central,Bagmati,Kathmandu,114,Braham-Hill,1632640,196723.1,0.632,3983659.85
China (People's Republic of),Nepal,Asia,2017,Chinese Government provides RMB 55 million million grant for Durbar High School (Bhanu Secondary School) Reconstruction Project (Linked to Project ID #43970),ODA,EMERGENCY RESPONSE,China Ministry of Commerce,8139169,"http://news.cri.cn/20180803/7aa16025-471b-db4f-78bf-861a203c773d.html|https://thehimalayantimes.com/kathmandu/reconstruction-of-durbar-high-school-begins-with-chinese-govts-assistance/|http://www.mofcom.gov.cn/dl/gbdqzn/upload/niboer.pdf|http://www.xinhuanet.com/english/2019-04/25/c_138008567.htm|https://www.youtube.com/watch?v=WyNf3wW3WZI|https://en.wikipedia.org/wiki/Durbar_High_School|https://www.google.com/maps/place/Durbar+High+School/@27.7078162,85.3141929,15z/data=!4m5!3m4!1s0x0:0x2765fb20876b50d1!8m2!3d27.7078162!4d85.3141929|https://web.archive.org/web/20190818231829/http://www.mof.gov.np/uploads/document/file/20140820115245.pdf|https://www.fmprc.gov.cn/ce/cenp/eng/EconomyTrade/chinaaid/t1770299.htm|http://np.chineseembassy.org/eng/News/t1666377.htm|http://www.nra.gov.np/np/resources/details/g_Gkyp8gZBLqQ2gZ0wR7CnZ2N5blaEVedigA86PMhnI|http://www.nra.gov.np/en/news/details/Co_ccfC2oruTmQOBADaJPaCN1w_tlXe7HBiWBORDuPw|https://twitter.com/PRCAmbNepal/status/1253948319144923137|https://glocalkhabar.com/reconstruction-of-durbar-high-school-completed/?fbclid=IwAR2h-5h7XoAAAjhVALvPFaIkvoEmSijSgldYhaOcQb6pKT4GklAwV0WnWk4|https://www.spotlightnepal.com/2019/05/30/durbar-high-school-showcase-work-china-aid-post-disaster-reconstruction-projects-nepal-ambassador-hou-yanqi/|https://kathmandupost.com/valley/2018/08/04/reconstruction-of-durbar-high-school-begins|https://www.youtube.com/watch?v=UKWIxQHi60s|http://np.china-embassy.org/chn/xwdt/t1666375.htm|https://www.dropbox.com/s/zoaphuzh57yrd8c/dp_profile_20190331055603.pdf?dl=0|http://np.mofcom.gov.cn/article/jmxw/201809/20180902786798.shtml",Kathmandu,Central,Bagmati,Ranipokhari,256,Braham-Hill,1632640,196723.1,0.632,3983659.85
China (People's Republic of),Nepal,Asia,2017,Chinese Government provides grant worth 1.64 billion Nepali rupees for Bhairav Secondary School and Shree Ratna Rajya Secondary School Post-Earthquake Reconstruction Project,ODA,RECONSTRUCTION RELIEF AND REHABILITATION,China Ministry of Commerce,15740500,http://np.mofcom.gov.cn/article/jmxw/201705/20170502582409.shtml|http://www.chinanews.com/gj/2017/05-22/8230854.shtml|https://twitter.com/prcambnepal/status/1215232433668292611?lang=en|http://www.xinhuanet.com//english/2017-05/23/c_136307944.htm|https://mofa.gov.np/translation-of-press-note-at-tia-kathmandu-on-24-june-2018-on-official-visit-of-the-rt-honble-prime-minister-to-china/|https://edusanjal.com/news/over-rs-1-billion-china-aided-schools-project-launched/|https://myrepublica.nagariknetwork.com/news/sindhupalchowk-gets-plush-school-buildings-with-chinese-assistance-of-rs-1-billion/|https://thehimalayantimes.com/nepal/china-helps-rebuild-quake-damaged-school/|https://glocalkhabar.com/chinese-aid-to-construct-school-building/|https://edusanjal.com/news/building-bhairab-secondary-school-constructed-chinese-support/|https://www.facebook.com/pages/category/Just-For-Fun/Bhairab-Secondary-School-Rainas-Municipality-9-Lamjung-423593295048350/|http://english.mofcom.gov.cn/article/services/supplydemandofchina/demand/202002/20200202937651.shtml|http://www.xinhuanet.com/english/2020-02/20/c_138799638.htm|https://myrepublica.nagariknetwork.com/news/sindhupalchowk-gets-plush-school-buildings-with-chinese-assistance-of-rs-1-billion/?categoryId=blog,Lamjung,West,Gandaki,Birendranagar,645,Gurung,153626,8057.9,0.507,876383.97
China (People's Republic of),Nepal,Asia,2017,Chinese Government provides RMB 1 billion grant through ETCA for Upgrading of the Kodari Highway and Rasuwa Bridge Construction Project,ODA,TRANSPORT AND STORAGE,China Ministry of Commerce,147984895,https://en.reportersnepal.com/2018/06/247616|https://www.spotlightnepal.com/2017/08/27/chinese-deputy-premiers-nepal-visit-neighbors-concern/|https://www.business-standard.com/article/news-ians/nepal-china-sign-three-accords-117081601424_1.html|https://web.archive.org/web/20190818231829/http://www.mof.gov.np/uploads/document/file/20140820115245.pdf|https://mofa.gov.np/nepal-china-relations/|https://www.dropbox.com/s/zoaphuzh57yrd8c/dp_profile_20190331055603.pdf?dl=0|https://www.dropbox.com/s/efg9ckb3gb7fdz9/Nepal-China%20Relations%20-%20Ministry%20of%20Foreign%20Affairs%20Nepal%20MOFA.pdf?dl=0,Sindhupalchok,Central,Bagmati,Rasuwagadhi,"2,8",Tamang,264274,12976.4,0.455,954115.86
China (People's Republic of),Nepal,Asia,2016,China Eximbank provides RMB 1.02 billion loan for Pokhara International Regional Airport Construction Project (Linked to Project ID #71852),ODA,TRANSPORT AND STORAGE,Export-Import Bank of China,153497322,http://np.mofcom.gov.cn/article/jmxw/201405/20140500598995.shtml|https://web.archive.org/web/20140526191412/http://ekantipur.com/2014/05/23/top-story/china-camc-wins-contract-for-new-pokhara-airport/389933.html|http://www.myrepublica.com/portal/index.php?action=news_details&news_id=85514|https://web.archive.org/web/20150518145705/http://www.ekantipur.com/2015/02/06/business/china-exim-bank-okays-loan-to-build-new-pokhara-airport/401349.html|https://global.factiva.com/redir/default.aspx?P=sa&an=XNEWS00020130531e95v0058x&cat=a&ep=ASE|http://www.myrepublica.com/economy/item/17071-chinese-team-inspects-pokhara-airport-construction-site.html|https://web.archive.org/web/20170624190418/http://nepaleconomicforum.org/uploads/publications/file/nefport10_20150209113358.pdf|http://np.china-embassy.org/chn/xwdt/t1159538.htm|http://www.ktm2day.com/2013/05/05/china-invites-nepali-officials-to-study-airport-models/|http://www.myrepublica.com/portal/index.php?action=news_details&news_id=75388|https://web.archive.org/web/20140627131540/http://www.ekantipur.com/2014/06/23/business/tourism-ministry-seeks-215m-loan-to-build-for-pokhara-airport/391214.html|http://www.travelbiznews.com/news/item/1558-nepal-chinese-contractor-to-sign-agreement-for-pokhara-airport|http://travelnewsnepal.com/aviation/chinese-team-inspects-pokhara-regional-intl-airport-construction-site/|https://web.archive.org/web/20150427190311/http://www.ekantipur.com/2015/01/24/business/work-on-new-pokhara-airport-to-start-by-feb/400768.html|http://www.nepalenergyforum.com/china-exim-bank-team-to-review-2-projects/|http://touristnepal.com/caan-positive-as-china-exim-bank-acknowledges-loan-request-to-build-pokhara-intl-airport/|http://touristnepal.com/pokhara-international-airport-construction-to-commence-from-mid-february-2015/|http://www.fmprc.gov.cn/mfa_chn/ziliao_611306/1179_611310/t895814.shtml|http://www.yutian.org.cn/gy_2015_0509_921.html|http://sky.news.sina.com.cn/2014-04-09/103149888.html|http://www.scio.gov.cn/31773/35507/35510/Document/1561502/1561502.htm|https://global.factiva.com/redir/default.aspx?P=sa&NS=16&AID=9VIV000400&an=SUDNWA0020170614ed6d00003&cat=a&ep=ASI|https://web.archive.org/web/20190818231829/http://www.mof.gov.np/uploads/document/file/20140820115245.pdf|https://kathmandupost.com/money/2018/12/25/pokhara-international-airport-runway-taxiway-expected-to-be-ready-by-mid-april-2019|https://myrepublica.nagariknetwork.com/news/21277/?categoryId=81|https://twitter.com/PRCAmbNepal/status/1196958049698598912|http://www.sinomach.com.cn/en/Sustainability/CSRReports/201908/P020190828492944733517.pdf|https://nepalindata.com/media/resources/bulkuploaded/caan-report_2016_eng_sep17.pdf|https://www.dropbox.com/s/u22oi9tl8x9asu7/Pokhara%20int%E2%80%99l%20airport%20construction%20set%20to%20begin%20from%20Thursday.pdf?dl=0|https://thehimalayantimes.com/business/govt-extends-credit-build-pokhara-airport/|https://en.wikipedia.org/wiki/Pokhara_International_Airport|https://kathmandupost.com/money/2017/03/15/design-to-be-sent-to-chinese-bank-for-loan|http://www.anlilaw.com/100030/109|https://caanepal.gov.np/storage/app/uploads/public/5c9/24c/7f5/5c924c7f59528466842043.pdf|https://www.dropbox.com/s/osyacz1eozptku0/%E0%A4%B8%E0%A4%82%E0%A4%B8%E0%A5%8D%E0%A4%95%E0%A5%83%E0%A4%A4%E0%A4%BF%2C%20%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%9F%E0%A4%A8%20%E0%A4%A4%E0%A4%A5%E0%A4%BE%20%E0%A4%A8%E0%A4%BE%E0%A4%97%E0%A4%B0%E0%A4%BF%E0%A4%95%20%E0%A4%89%E0%A4%A1%E0%A5%8D%E0%A4%A1%E0%A4%AF%E0%A4%A8%20%E0%A4%AE%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%B2%E0%A4%AF.pdf?dl=0|https://www.chinadaily.com.cn/world/2016-06/05/content_25616205.htm|https://caanepal.gov.np/storage/app/media/uploaded-files/Nepal%20Air%20Traffic%20Demand.pdf|http://np.china-embassy.org/chn/xwdt/t1717330.htm|https://www.dropbox.com/s/efg9ckb3gb7fdz9/Nepal-China%20Relations%20-%20Ministry%20of%20Foreign%20Affairs%20Nepal%20MOFA.pdf?dl=0|https://www.dropbox.com/s/zoaphuzh57yrd8c/dp_profile_20190331055603.pdf?dl=0|https://www.dropbox.com/s/efg9ckb3gb7fdz9/Nepal-China%20Relations%20-%20Ministry%20of%20Foreign%20Affairs%20Nepal%20MOFA.pdf?dl=0|https://www.dropbox.com/s/9uo3d2ofjm02dsd/Pokhara%20Regional%20International%20Airport.pdf?dl=0,Kaski,West,Gandaki,Pokhara,254,Braham-Hill,454992,31244.7,0.576,1414683.74
China (People's Republic of),Nepal,Asia,2016,China donates medical equipment to National Ayurveda Research and Training Center in Nepal,ODA,HEALTH,Unspecified Chinese Government Institution,373124,https://web.archive.org/web/20180902204738/http://amis.mof.gov.np/aim/viewActivityPreview.do~public=true~pageId=2~activityId=15256~language=en|http://news.xinhuanet.com/english/2016-05/11/c_135351698.htm,Kathmandu,Central,Bagmati,Kirtipur,118,Braham-Hill,1632640,196723.1,0.632,3983659.85
China (People's Republic of),Nepal,Asia,2016,Chinese Government provides grant for Post-Disaster Reconstruction Projects (Linked to Umbrella Project #43970),ODA,TRANSPORT AND STORAGE,China Ministry of Commerce,146048064,https://mofa.gov.np/wp-content/uploads/2016/07/Annual-Report-12-Oct-final.pdf|http://kathmandupost.ekantipur.com/news/2016-12-30/nepal-china-sign-rs15-b-grant-deal.html|http://kathmandupost.ekantipur.com/news/2018-01-23/rasuwagadhi-highway-set-to-be-upgraded.html|https://everythingview.com/govt-plans-tender-call-to-blacktop-mailung-road/|http://annanote.com/news/2954/China-to-provide-Rs-15.7-billion-grant-to-repair-Syaphrubesi-Rasuwagadhi-Highway| https://www.dropbox.com/s/zoaphuzh57yrd8c/dp_profile_20190331055603.pdf?dl=0|https://kathmandupost.com/money/2018/12/26/china-to-start-upgrading-syabrubesi-road-soon|https://kathmandupost.com/money/2018/01/23/rasuwagadhi-highway-set-to-be-upgraded|https://kathmandupost.com/province-no-3/2019/09/29/upgradation-of-syaphrubesi-rasuwagadhi-road-section-starts|http://www.chinadaily.com.cn/a/201803/15/WS5aaa48d7a3106e7dcc141e67.html,Rasuwa,Central,Bagmati,Rasuwa,"29,2",Tamang,39545,2677.4,0.461,582136.51
China (People's Republic of),Nepal,Asia,2016,"Chinese Government provides grant worth 4.5 billion Nepali rupees for Syaphrubesi-Rasuwagadhi Highway Repair and Improvement Project (Linked to Project ID#38360, #43970, and #53689)",ODA,EMERGENCY RESPONSE,China Ministry of Commerce,41860910,http://www.chinadaily.com.cn/a/201803/15/WS5aaa48d7a3106e7dcc141e67.html|https://kathmandupost.com/province-no-3/2019/09/29/upgradation-of-syaphrubesi-rasuwagadhi-road-section-starts|https://kathmandupost.com/money/2018/12/26/china-to-start-upgrading-syabrubesi-road-soon|https://web.archive.org/web/20190818231829/http://www.mof.gov.np/uploads/document/file/20140820115245.pdf|https://www.sohu.com/a/344698420_266317|https://www.dropbox.com/s/zoaphuzh57yrd8c/dp_profile_20190331055603.pdf?dl=0|https://kathmandupost.com/money/2018/01/23/rasuwagadhi-highway-set-to-be-upgraded,Rasuwa,Central,Bagmati,Syaphrubesi,75,Tamang,39545,2677.4,0.461,582136.51
China (People's Republic of),Nepal,Asia,2016,"Chinese Government provides grant worth 1.3 billion Nepali rupees for Civil Service Hospital Upgrading and Renovation Project (Linked to Project ID#34350, #43970, and #53689)",ODA,HEALTH,China Ministry of Commerce,12093152,https://web.archive.org/web/20200322115524/https://therisingnepal.org.np/news/26120|https://web.archive.org/web/20190818231829/http://www.mof.gov.np/uploads/document/file/20140820115245.pdf|https://www.fmprc.gov.cn/ce/cenp/eng/EconomyTrade/chinaaid/t1770299.htm|http://np.china-embassy.org/chn/xwdt/t1599484.htm|http://www.sasac.gov.cn/n2588025/n2588124/c9843292/content.html|https://www.civilservicehospital.org/|https://www.dropbox.com/s/zoaphuzh57yrd8c/dp_profile_20190331055603.pdf?dl=0,Kathmandu,Central,Bagmati,Kathmandu,114,Braham-Hill,1632640,196723.1,0.632,3983659.85
China (People's Republic of),Nepal,Asia,2016,Chinese Government provides RMB 37 million grant for Solar Photovoltaic Project at Singhadurbar,ODA,ENERGY,Unspecified Chinese Government Institution,5568040,https://en.wikipedia.org/wiki/Singha_Durbar|http://www.xinhuanet.com/english/2018-04/10/c_137100721.htm|http://np.mofcom.gov.cn/article/jmxw/201804/20180402737368.shtml|https://web.archive.org/web/20190818231829/http://www.mof.gov.np/uploads/document/file/20140820115245.pdf|https://thehimalayantimes.com/business/china-hands-over-1mw-solar-system-in-singha-durbar/|https://www.dropbox.com/s/zoaphuzh57yrd8c/dp_profile_20190331055603.pdf?dl=0|https://www.dropbox.com/s/zoaphuzh57yrd8c/dp_profile_20190331055603.pdf?dl=0,Kathmandu,Central,Bagmati,Singhadurbar,113,Braham-Hill,1632640,196723.1,0.632,3983659.85
