District,Zone,Geographical Region,Development Region,S.no,Const,Candidate Name,Party Name,Total Votes,Remark,Total Votes,Percentage of Votes,Victory Margin,Cumulative Victory Margin (total),Cumulative Victory Margin (average),Seat share,
Taplejung,Mechi,Mountain,Eastern,1,1,Surya Man Gurung,Nepali Congress,8719,Elected,29334,"0,297231881","0,010636122","12,76%","12,76%",0.5,
Taplejung,Mechi,Mountain,Eastern,1,1,Surendra Kumar Karki,Communist Party of Nepal (Maoists),8407,Not Elected,29334,"0,286595759",,,,,
Taplejung,Mechi,Mountain,Eastern,2,2,Damber Dhoj Tumbahamphe,Communist Party of Nepal (UML),8628,Elected,23655,"0,364743183","0,138194885",,,,
Taplejung,Mechi,Mountain,Eastern,2,2,Pratap Prakash Hangam,Nepali Congress,5359,Not Elected,23655,"0,226548298",,,,,
Panchthar,Mechi,Hill,Eastern,3,1,Purna Kumar Serma,Nepali Congress,12920,Elected,42635,"0,303037411","0,000164184","1,96%","1,96%","0,5",
Panchthar,Mechi,Hill,Eastern,3,1,Ganesh Kumar Kambang,Communist Party of Nepal (UML),12913,Not Elected,42635,"0,302873226",,,,,
Panchthar,Mechi,Hill,Eastern,4,2,Damber Singh Sambahamphe,Communist Party of Nepal (UML),12402,Elected,40290,"0,307818317","0,019806404",,,,
Panchthar,Mechi,Hill,Eastern,4,2,Bhisma Raj Aangdambe,Nepali Congress,11604,Not Elected,40290,"0,288011914",,,,,
Ilam,Mechi,Hill,Eastern,5,1,Jhal Nath Khanal,Communist Party of Nepal (UML),17655,Elected,46299,"0,381325731","0,083824705","16,98%","6,65%",0.66,
Ilam,Mechi,Hill,Eastern,5,1,Benup Raj Prasai,Nepali Congress,13774,Not Elected,46299,"0,297501026",,,,,
Ilam,Mechi,Hill,Eastern,6,2,Subash Nembang,Communist Party of Nepal (UML),17748,Elected,30142,"0,588812952","0,122885011",,,,
Ilam,Mechi,Hill,Eastern,6,2,Keshav Thapa,Nepali Congress,14044,Not Elected,30142,"0,465927941",,,,,
Ilam,Mechi,Hill,Eastern,7,3,Kul Bahadur Gurung,Nepali Congress,16286,Elected,43148,"0,377445073","0,036873088",,,,
Ilam,Mechi,Hill,Eastern,7,3,Dharma Prasad Uprati,Communist Party of Nepal (UML),14695,Not Elected,43148,"0,340571985",,,,,
Jhapa,Mechi,Terai,Eastern,8,1,Dharma Prasad Ghimire,Communist Party of Nepal (Maoists),15276,Elected,46222,"0,330491974","0,021483276","42,89%","5,83%",0.86,
Jhapa,Mechi,Terai,Eastern,8,1,Narendra Bikram Nembang,Nepali Congress,14283,Not Elected,46222,"0,309008697",,,,,
Jhapa,Mechi,Terai,Eastern,9,2,Gauri Shankar Khadka,Communist Party of Nepal (Maoists),18580,Elected,46342,"0,4009322","0,10221829",,,,
Jhapa,Mechi,Terai,Eastern,9,2,Sudhir Kumar Siwakoti,Nepali Congress,13843,Not Elected,46342,"0,29871391",,,,,
Jhapa,Mechi,Terai,Eastern,10,3,Purna Prasad Rajbansi,Communist Party of Nepal (Maoists),16685,Elected,38054,"0,438455878","0,069269985",,,,
