District,Zone,Geographical Region,Development Region,S.no,Const,Candidate Name,Party Name,Votes Secured,Remark,Total Votes,Percentage of Votes,Victory Margin,Cumulative Victory Margin (total),Cumulative Victory Margin (average),Seat share,,
Taplejung,Mechi,Mountain,East,1,1,Bhupendra Thebe,Communist Party of Nepal (UML),7434,Elected,24093,"30,86%","0,58%","12,08%","6,33%",1,,
Taplejung,Mechi,Mountain,East,1,1,Lila Devi Bokhim Limbu,Nepali Congress (NC),7295,Not Elected,24093,"30,28%",,,,,,
Taplejung,Mechi,Mountain,East,2,2,Dambardhoj Tumbahamphe ,Communist Party of Nepal (UML),7034,Elected,18774,"37,47%","11,51%",,,,,
Taplejung,Mechi,Mountain,East,2,2,Pratap Prakash Hangam,Nepali Congress (NC),4874,Not Elected,18774,"25,96%",,,,,,
Panchthar,Mechi,Hill,East,3,1,Ganesh Kumar Kambang ,Communist Party of Nepal (UML),13082,Elected,36226,"36,11%","4,32%","-3,50%","-3,50%","0,5",,
Panchthar,Mechi,Hill,East,3,1,Narendra Kumar Kerung,Nepali Congress (NC),11518,Not Elected,36226,"31,79%",,,,,,
Panchthar,Mechi,Hill,East,4,2,Bhishmaraj Aangdembe ,Nepali Congress (NC),11839,Elected,34018,"34,80%","7,82%",,,,,
Panchthar,Mechi,Hill,East,4,2,Dumbar Singh Sambahamphe,Communist Party of Nepal (UML),9179,Not Elected,34018,"26,98%",,,,,,
Ilam,Mechi,Hill,East,5,1,Jhalnath Khanal ,Communist Party of Nepal (UML),17342,Elected,47006,"36,89%","3,86%","3,77%","1,15%","0,66",,
Ilam,Mechi,Hill,East,5,1,N/A,Nepali Congress (NC),15527,Not Elected,47006,"33,03%",,,,,,
Ilam,Mechi,Hill,East,6,2,Subas Chandra Nembang ,Communist Party of Nepal (UML),14930,Elected,40128,"37,21%","5,24%",,,,,
Ilam,Mechi,Hill,East,6,2,Bhes Raj Acha,Nepali Congress (NC),12828,Not Elected,40128,"31,97%",,,,,,
Ilam,Mechi,Hill,East,7,3,Keshav Thapa ,Nepali Congress,15868,Elected,40550,"39,13%","5,33%",,,,,
Ilam,Mechi,Hill,East,7,3,Tech Bahadur Rai,Communist Party of Nepal (UML),13707,Not Elected,40550,"33,80%",,,,,,
Jhapa,Mechi,Terai,East,8,1,Rabin Koirala ,Communist Party of Nepal (UML),17229,Elected,50150,"34,35%","1,37%","14,54%","10,16%","0,57",,
Jhapa,Mechi,Terai,East,8,1,Shw Prakash Sharma,Nepali Congress (NC),16540,Not Elected,50150,"32,98%",,,,,,
Jhapa,Mechi,Terai,East,9,2,Sudhir Kumar siwakoti,Nepali Congress (NC),13554,Elected,50467,"26,86%","1,44%",,,,,
Jhapa,Mechi,Terai,East,9,2,Pavitra Niraula,Communist Party of Nepal (UML),12825,Not Elected,50467,"25,41%",,,,,,
Jhapa,Mechi,Terai,East,10,3,Krishna Prasad Sitaula ,Nepali Congress (NC),14355,Elected,46530,"30,85%","10,96%",,,,,
Jhapa,Mechi,Terai,East,10,3,Rajendra Prasad Lingden,Rashtriya Prajatantra Party Nepal (RPP),9253,Not Elected,46530,"19,89%",,,,,,
Jhapa,Mechi,Terai,East,11,4,Prem Bahadur Giri ,Communist Party of Nepal (UML),22159,Elected,57162,"38,77%","3,47%",,,,,
Jhapa,Mechi,Terai,East,11,4,Udhav Thapa,Nepali Congress (NC),20177,Not Elected,57162,"35,30%",,,,,,
Jhapa,Mechi,Terai,East,12,5,Keshav Kumar Budhathoki ,Nepali Congress (NC),16587,Elected,56209,"29,51%","0,43%",,,,,
Jhapa,Mechi,Terai,East,12,5,Lal Prasad Sava Limbu,Communist Party of Nepal (UML),16347,Not Elected,56209,"29,08%",,,,,,
Jhapa,Mechi,Terai,East,13,6,Deipak Karki ,Communist Party of Nepal (UML),11326,Elected,39773,"28,48%","7,68%",,,,,
Jhapa,Mechi,Terai,East,13,6,Ram Kumari Poudel,Nepali Congress (NC),8272,Not Elected,39773,"20,80%",,,,,,
Jhapa,Mechi,Terai,East,14,7,K.P. Sharma Oli ,Communist Party of Nepal (UML),19287,Elected,55497,"34,75%","14,86%",,,,,
Jhapa,Mechi,Terai,East,14,7,Suresh Kumar Yongaya,Nepali Congress (NC),11041,Not Elected,55497,"19,89%",,,,,,
Sankhuwasabha,Kosi,Mountain,East,15,1,Tara Man Gurung ,Nepali Congress (NC),9415,Elected,28981,"32,49%","1,62%","-3,51%","-1,76%",0,,
Sankhuwasabha,Kosi,Mountain,East,15,1,Hem Raj,Communist Party of Nepal (UML),8946,Not Elected,28981,"30,87%",,,,,,
Sankhuwasabha,Kosi,Mountain,East,16,2,Deepak Khadka ,Nepali Congress (NC),11552,Elected,30565,"37,79%","1,89%",,,,,
Sankhuwasabha,Kosi,Mountain,East,16,2,Rajendra Prasad Gautam,Communist Party of Nepal (UML),10973,Not Elected,30565,"35,90%",,,,,,
Terhathum,Kosi,Hill,East,17,1,Bhawani Prasad Khapung ,Communist Party of Nepal (UML),15111,Elected,39347,"38,40%","5,09%","5,09%","5,09%",1,,
Terhathum,Kosi,Hill,East,17,1,Tulsi Suva,Nepali Congress (NC),13108,Not Elected,39347,"33,31%",,,,,,
Bhojpur,Kosi,Hill,East,18,1,Kripasur Sherpa ,Communist Party of Nepal (UML),11450,Elected,32476,"35,26%","7,64%","24,85%","12,42%",1,,
Bhojpur,Kosi,Hill,East,18,1,Dharma Raj Rai,Nepali Congress (NC),8970,Not Elected,32476,"27,62%",,,,,,
Bhojpur,Kosi,Hill,East,19,2,Sherdhan Rai ,Communist Party of Nepal (UML),11927,Elected,32390,"36,82%","17,21%",,,,,
Bhojpur,Kosi,Hill,East,19,2,___ _____ ____,Nepali Congress (NC),6353,Not Elected,32390,"19,61%",,,,,,
Dhankuta,Kosi,Hill,East,20,1,Tika Ram Chemjong Limbu ,Communist Party of Nepal (UML),17202,Elected,32848,"52,37%","19,02%","17,50%","17,50%","0,5",,
Dhankuta,Kosi,Hill,East,20,1,Ram Chemjong Limbu,Communist Party of Nepal (UML),10953,Not Elected,32848,"33,34%",,,,,,
Dhankuta,Kosi,Hill,East,21,2,Sunil Bahadur Thapa ,Rashtriya Prajatantra Party Nepal (RPP),10093,Elected,29878,"33,78%","1,53%",,,,,
Dhankuta,Kosi,Hill,East,21,2,Rajendra Kumar Rai,Communist Party of Nepal (UML),9637,Not Elected,29878,"32,25%",,,,,,
Morang,Kosi,Terai,East,22,1,Rishi Kesh Pokhrel ,Communist Party of Nepal (UML),14000,Elected,44191,"31,68%","6,92%","-40,56%","-8,85%","0,44",,
Morang,Kosi,Terai,East,22,1,Amod Prasad Upadhyay,Nepali Congress (NC),10940,Not Elected,44191,"24,76%",,,,,,
Morang,Kosi,Terai,East,23,2,Chandi Prasad Rai ,Communist Party of Nepal (UML),14516,Elected,39863,"36,41%","8,46%",,,,,
Morang,Kosi,Terai,East,23,2,Shekhar Chandra Thapa,Nepali Congress (NC),11144,Not Elected,39863,"27,96%",,,,,,
Morang,Kosi,Terai,East,24,3,Dilip Khawas Gachhadar ,Nepali Congress (NC),12984,Elected,44623,"29,10%","0,69%",,,,,
Morang,Kosi,Terai,East,24,3,Guru Prasad Varal,Communist Party of Nepal (UML),12674,Not Elected,44623,"28,40%",,,,,,
Morang,Kosi,Terai,East,25,4,Shiva Kumar Mandan Kewat ,Communist Party of Nepal (Maoists),9360,Elected,40791,"22,95%","0,02%",,,,,
Morang,Kosi,Terai,East,25,4,Gayananda Mandala Gangai,Nepali Congress (NC),9352,Not Elected,40791,"22,93%",,,,,,
Morang,Kosi,Terai,East,26,5,Amrit Kumar Aryal ,Nepali Congress (NC),15254,Elected,44117,"34,58%","26,01%",,,,,
Morang,Kosi,Terai,East,26,5,Valeshwar Kamat,Communist Party of Nepal (Maoists),3780,Not Elected,44117,"8,57%",,,,,,
Morang,Kosi,Terai,East,27,6,Mahesh Acharya ,Nepali Congress (NC),12552,Elected,45101,"27,83%","15,41%",,,,,
Morang,Kosi,Terai,East,27,6,Mahesh Prasad Bhattarai,Communist Party of Nepal (UML),5600,Not Elected,45101,"12,42%",,,,,,
Morang,Kosi,Terai,East,28,7,Dr. Shekhar Koirala ,Nepali Congress (NC),12982,Elected,47290,"27,45%","15,52%",,,,,
Morang,Kosi,Terai,East,28,7,Gopal Chhetri,Communist Party of Nepal (Maoists),5644,Not Elected,47290,"11,93%",,,,,,
Morang,Kosi,Terai,East,29,8,Chandra Bahadur Gurung ,Communist Party of Nepal (UML),17401,Elected,45166,"38,53%","6,81%",,,,,
Morang,Kosi,Terai,East,29,8,Ramesh Jung Rayamajhi,Nepali Congress (NC),14324,,45166,"31,71%",,,,,,
Morang,Kosi,Terai,East,30,9,Dig Bahadur Limbu ,Nepali Congress (NC),15202,Elected,43028,"35,33%","5,14%",,,,,
Morang,Kosi,Terai,East,30,9,Ghan Shyam Khatiwada,Communist Party of Nepal (UML),12989,Not Elected,43028,"30,19%",,,,,,
Sunsari,Kosi,Terai,East,31,1,Krishna Kumar Rai ,Communist Party of Nepal (UML),14384,Elected,46985,"30,61%","4,36%","7,47%","2,49%","0,5",,
Sunsari,Kosi,Terai,East,31,1,Chandra Prasad Shrestha,Nepali Congress (NC),12337,Not Elected,46985,"26,26%",,,,,,
Sunsari,Kosi,Terai,East,32,2,Rabati Raman Bhandari ,Communist Party of Nepal (UML),18474,Elected,58038,"31,83%","12,11%",,,,,
Sunsari,Kosi,Terai,East,32,2,Badri Narayan Chaudhary,Nepali Congress (NC),11443,Not Elected,58038,"19,72%",,,,,,
Sunsari,Kosi,Terai,East,33,3,Bijaya Kumar Gachhadar ,"Madhesi People's Rights Forum, Nepal",17524,Elected,53419,"32,80%","0,68%",,,,,
Sunsari,Kosi,Terai,East,33,3,Bhagwati Chaudhary,Communist Party of Nepal (UML),17162,Not Elected,53419,"32,13%",,,,,,
Sunsari,Kosi,Terai,East,34,4,Sitaram Mahato ,Nepali Congress (NC),15208,Elected,46975,"32,37%","9,70%",,,,,
Sunsari,Kosi,Terai,East,34,4,Khemraj Pokhrel,Communist Party of Nepal (UML),10653,Not Elected,46975,"22,68%",,,,,,
Sunsari,Kosi,Terai,East,35,5,Upendra Yadav ,"Madhesi People's Rights Forum, Nepal",7264,Elected,42345,"17,15%","4,02%",,,,,
Sunsari,Kosi,Terai,East,35,5,Jagdish Prasad Kushiyat,Communist Party of Nepal (UML),5561,Not Elected,42345,"13,13%",,,,,,
Sunsari,Kosi,Terai,East,36,6,Bhim Prasad Acharya ,Communist Party of Nepal (UML),14101,Elected,42402,"33,26%","5,39%",,,,,
Sunsari,Kosi,Terai,East,36,6,Ram Bahadur Basnet,Nepali Congress (NC),11814,Not Elected,42402,"27,86%",,,,,,
Solukhumbu,Sagarmatha,Mountain,East,37,1,Bal Bahadur K.C. ,Nepali Congress (NC),12464,Elected,36656,"34,00%","6,44%","-6,44%","-6,44%",0,,
Solukhumbu,Sagarmatha,Mountain,East,37,1,Solukhumbu,Communist Party of Nepal (UML),10104,Not Elected,36656,"27,56%",,,,,,
Khotang,Sagarmatha,Hill,East,38,1,Panchkarna Rai ,Communist Party of Nepal (UML),10824,Elected,35600,"30,40%","2,76%","16,60%","8,30%",1,,
Khotang,Sagarmatha,Hill,East,38,1,Naresh Kumar Shrestha,Nepali Congress (NC),9841,Not Elected,35600,"27,64%",,,,,,
Khotang,Sagarmatha,Hill,East,39,2,Bishal Bhattarai ,Communist Party of Nepal (UML),14037,Elected,35505,"39,54%","13,84%",,,,,
Khotang,Sagarmatha,Hill,East,39,2,Shnu Kumar Rai,Nepali Congress (NC),9122,Not Elected,35505,"25,69%",,,,,,
Okhaldhunga,Sagarmatha,Hill,East,40,1,Yagya Raj Sunuwar ,Communist Party of Nepal (UML),12943,Elected,28784,"44,97%","10,42%","-7,92%","-7,92%","0,5",,
Okhaldhunga,Sagarmatha,Hill,East,40,1,Krishna Dahal,Nepali Congress (NC),9943,Not Elected,28784,"34,54%",,,,,,
Okhaldhunga,Sagarmatha,Hill,East,41,2,Ram Hari Khatiwada ,Nepali Congress (NC),13904,Elected,29403,"47,29%","18,35%",,,,,
Okhaldhunga,Sagarmatha,Hill,East,41,2,Nani Babu Budhathoki,Communist Party of Nepal (UML),8510,Not Elected,29403,"28,94%",,,,,,
Udayapur,Sagarmatha,Hill,East,42,1,Dr. Narayan Khadka ,Nepali Congress (NC),15381,Elected,37233,"41,31%","21,71%","-31,46%","-15,70%","0,33",,
Udayapur,Sagarmatha,Hill,East,42,1,Maniraj Upadhyay Poudel,Communist Party of Nepal (UML),7298,Not Elected,37233,"19,60%",,,,,,
Udayapur,Sagarmatha,Hill,East,43,2,Manju Kumari Chaudhary ,Communist Party of Nepal (Maoists),7534,Elected,33415,"22,55%","0,07%",,,,,
Udayapur,Sagarmatha,Hill,East,43,2,Pramila Rai,Nepali Congress (NC),7511,Not Elected,33415,"22,48%",,,,,,
Udayapur,Sagarmatha,Hill,East,44,3,Narayan Bahadur Karki ,Nepali Congress (NC),12550,Elected,31853,"39,40%","9,82%",,,,,
Udayapur,Sagarmatha,Hill,East,44,3,_______  ______,Communist Party of Nepal (UML),9422,Not Elected,31853,"29,58%",,,,,,
Saptari,Sagarmatha,Terai,East,45,1,Manpur Chaudhary ,Communist Party of Nepal (Maoists),9844,Elected,43552,"22,60%","9,86%","14,21%","2,09%","0,66",,
Saptari,Sagarmatha,Terai,East,45,1,Hem Raj Tated,"Madhesi People's Rights Forum, Nepal",5549,Not Elected,43552,"12,74%",,,,,,
Saptari,Sagarmatha,Terai,East,46,2,Ashok Kumar Mandan ,Communist Party of Nepal (Maoists),6057,Elected,36333,"16,67%","1,19%",,,,,
Saptari,Sagarmatha,Terai,East,46,2,Naval Kisor Sah Sudi,Nepali Congress (NC),5624,Not Elected,36333,"15,48%",,,,,,
Saptari,Sagarmatha,Terai,East,47,3,Umesh Kumar Yadav ,Communist Party of Nepal (Maoists),8746,Elected,38598,"22,66%","5,85%",,,,,
Saptari,Sagarmatha,Terai,East,47,3,Shailendra Prasad Sah,"Madhesi People's Rights Forum, Nepal",6487,Not Elected,38598,"16,81%",,,,,,
Saptari,Sagarmatha,Terai,East,48,4,Tara Kanta Chaudhary ,Communist Party of Nepal (UML),8217,Elected,39192,"20,97%","3,14%",,,,,
Saptari,Sagarmatha,Terai,East,48,4,Nesh Kumar Yadav,Nepali Congress (NC),6985,Not Elected,39192,"17,82%",,,,,,
Saptari,Sagarmatha,Terai,East,49,5,Teju Lal Chaudhary ,Nepali Congress (NC),7959,Elected,38860,"20,48%","0,76%",,,,,
Saptari,Sagarmatha,Terai,East,49,5,Govind Vahadur Neupane,Communist Party of Nepal (UML),7663,Not Elected,38860,"19,72%",,,,,,
Saptari,Sagarmatha,Terai,East,50,6,Surendra Prasad Yadav ,Nepali Congress (NC),5883,Elected,38226,"15,39%","5,08%",,,,,
Saptari,Sagarmatha,Terai,East,50,6,Chhatra Narayan Yadav,Communist Party of Nepal (Maoists),3942,Not Elected,38226,"10,31%",,,,,,
