,Mean,SD,Min,Max,Mean First,Mean Second
Aid per Capita (log),2.577972723376868,3.3896972453197316,-0.7944089496865754,4.315436725098046,1.3576544695052306,2.5627153561395204
Chinese Aid per Capita (log),3.1886388871572002,3.6924483612111563,-1.8817983052829124,4.315122415033199,1.5991836041416592,3.588762749309724
Chinese Co-Ethnic District (log),3.2063664582790192,3.388320571965703,-1.8817983052829124,3.720308084749511,2.1721176377726654,3.4652828763918
Indian Aid per Capita (log),0.8957534704275869,1.1109693189456538,-0.7944089496865754,1.8677986483548636,1.01803447786926,0.5157984531367121
Indian Co-Ethnic District (log),1.420161383045122,1.3049791551339402,0.8085052445727327,1.8677986483548636,1.1676104023602545,1.0645527997020812
Victory Margin,0.07383733333333335,0.1277999032729547,-0.16465,0.46375,0.13680675675675677,0.01365599999999997
Distance to closest border [km],138.51024258760103,138.87026300059497,0.0,1013.0,,
Population (log),5.503216435831385,5.416974881836405,3.7896512087934098,6.212890432593677,,
Government spending per Capita (log),3.769217978855225,3.787906594866074,3.2881109097624437,4.6071796384695,,
GDP per district (log),8.311482359528707,8.45891475450881,6.998738716255818,9.365737366785698,,
Human Development Index,0.4682000000000001,0.05665686189686118,0.363,0.632,,
